clean_match_id,feature_id,feature_version,match_date_utc,season,competition_code,competition_name,stage,group_name,team_a_name,team_b_name,team_a_score,team_b_score,total_goals,target_1x2,target_over_1_5,target_over_2_5,target_btts,home_form_points_last_5,away_form_points_last_5,home_form_points_last_10,away_form_points_last_10,home_goals_scored_avg_last_10,away_goals_scored_avg_last_10,home_goals_conceded_avg_last_10,away_goals_conceded_avg_last_10,ranking_gap,elo_gap,is_neutral_venue,team_a_is_host,team_b_is_host,host_side_team_a,host_side_team_b,is_group_stage,is_knockout_stage,split_role
60,60,national_v1_elo_form,1934-06-07T00:00:00+01:00,1934,WC,FIFA World Cup,,,Austria,Germany,2,3,5,TEAM_B_WIN,YES,YES,YES,9.0,9.0,9.0,9.0,2.75,4.25,1.25,1.75,,2.272,1,0,0,0,0,0,0,train
61,61,national_v1_elo_form,1934-06-10T00:00:00+01:00,1934,WC,FIFA World Cup,,,Italy,Czechoslovakia,2,1,3,TEAM_A_WIN,YES,YES,YES,13.0,12.0,13.0,12.0,2.8,2.5,0.4,1.25,,-14.306,0,1,0,1,0,0,0,train
62,62,national_v1_elo_form,1937-06-16T00:00:00+01:00,1937,WCQ,FIFA World Cup qualification,,,Sweden,Finland,4,0,4,TEAM_A_WIN,YES,YES,NO,9.0,0.0,9.0,0.0,3.0,,1.5,,,40.434,0,1,0,1,0,0,0,train
63,63,national_v1_elo_form,1937-06-20T00:00:00+01:00,1937,WCQ,FIFA World Cup qualification,,,Sweden,Estonia,7,2,9,TEAM_A_WIN,YES,YES,YES,12.0,0.0,12.0,0.0,3.2,2.0,1.2,6.0,,72.483,0,1,0,1,0,0,0,train
64,64,national_v1_elo_form,1937-06-29T00:00:00+01:00,1937,WCQ,FIFA World Cup qualification,,,Finland,Germany,0,2,2,TEAM_B_WIN,YES,NO,NO,0.0,12.0,0.0,12.0,0.0,4.0,4.0,1.8,,-92.54,0,1,0,1,0,0,0,train
65,65,national_v1_elo_form,1937-07-29T00:00:00+01:00,1937,WCQ,FIFA World Cup qualification,,,Latvia,Lithuania,4,2,6,TEAM_A_WIN,YES,YES,YES,0.0,0.0,0.0,0.0,,0.0,,2.0,,21.886,0,1,0,1,0,0,0,train
66,66,national_v1_elo_form,1937-08-19T00:00:00+01:00,1937,WCQ,FIFA World Cup qualification,,,Finland,Estonia,0,1,1,TEAM_B_WIN,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.5,,-2.103,0,1,0,1,0,0,0,train
67,67,national_v1_elo_form,1937-08-29T00:00:00+01:00,1937,WCQ,FIFA World Cup qualification,,,Germany,Estonia,4,1,5,TEAM_A_WIN,YES,YES,YES,12.0,3.0,15.0,3.0,3.667,1.667,1.5,4.333,,102.824,0,1,0,1,0,0,0,train
68,68,national_v1_elo_form,1937-09-03T00:00:00+01:00,1937,WCQ,FIFA World Cup qualification,,,Lithuania,Latvia,1,5,6,TEAM_B_WIN,YES,YES,YES,0.0,3.0,0.0,3.0,1.0,4.0,3.0,2.0,,-53.726,0,1,0,1,0,0,0,train
69,69,national_v1_elo_form,1937-10-05T00:00:00+00:00,1937,WCQ,FIFA World Cup qualification,,,Austria,Latvia,2,1,3,TEAM_A_WIN,YES,YES,YES,9.0,6.0,9.0,6.0,2.6,4.5,1.6,1.5,,-16.195,0,1,0,1,0,0,0,train
70,70,national_v1_elo_form,1937-10-10T00:00:00+00:00,1937,WCQ,FIFA World Cup qualification,,,Norway,Republic of Ireland,3,2,5,TEAM_A_WIN,YES,YES,YES,0.0,1.0,0.0,1.0,,3.0,,4.5,,20.357,0,1,0,1,0,0,0,train
71,71,national_v1_elo_form,1937-10-10T00:00:00+00:00,1937,WCQ,FIFA World Cup qualification,,,Poland,Yugoslavia,4,0,4,TEAM_A_WIN,YES,YES,NO,0.0,7.0,0.0,7.0,1.0,2.0,2.0,2.2,,-31.042,0,1,0,1,0,0,0,train
72,72,national_v1_elo_form,1937-11-07T00:00:00+00:00,1937,WCQ,FIFA World Cup qualification,,,Bulgaria,Czechoslovakia,1,1,2,DRAW,YES,NO,YES,0.0,12.0,0.0,12.0,1.0,2.2,4.667,1.4,,-136.65,0,1,0,1,0,0,0,train
